experiment_name,base_experiment_name,mechanism,privacy_enabled,privacy_accountant,privacy_accountant_note,seed,best_val_accuracy,best_val_round,test_accuracy_at_best_val,test_f1_at_best_val,test_auc_at_best_val,test_balanced_accuracy_at_best_val,test_sensitivity_at_best_val,test_specificity_at_best_val,test_confidence_accuracy_top30_at_best_val,test_confidence_accuracy_top50_at_best_val,test_confidence_accuracy_ge90_at_best_val,test_confidence_coverage_ge90_at_best_val,best_test_accuracy,max_test_accuracy_observed,reference_best_accuracy,meets_reference_best_accuracy,accuracy_gap_to_reference,test_selection_rule,threshold_tuning,threshold_metric,decision_threshold_at_best_val,final_test_auc,final_test_f1,final_test_balanced_accuracy,final_test_sensitivity,final_test_specificity,rounds,target_val_accuracy,rounds_to_target_accuracy,final_mean_epsilon,final_cumulative_epsilon,max_mean_epsilon,max_cumulative_epsilon,avg_round_time_sec,total_communication_mb,avg_round_communication_mb,model_size_mb,classes,config,seed_count,multi_seed,best_val_accuracy_mean,best_val_accuracy_std,test_accuracy_at_best_val_mean,test_accuracy_at_best_val_std,test_auc_at_best_val_mean,test_auc_at_best_val_std,test_f1_at_best_val_mean,test_f1_at_best_val_std,test_balanced_accuracy_at_best_val_mean,test_balanced_accuracy_at_best_val_std,test_sensitivity_at_best_val_mean,test_sensitivity_at_best_val_std,test_specificity_at_best_val_mean,test_specificity_at_best_val_std,test_confidence_accuracy_top30_at_best_val_mean,test_confidence_accuracy_top30_at_best_val_std,test_confidence_accuracy_top50_at_best_val_mean,test_confidence_accuracy_top50_at_best_val_std,test_confidence_accuracy_ge90_at_best_val_mean,test_confidence_accuracy_ge90_at_best_val_std,best_test_accuracy_mean,best_test_accuracy_std,max_test_accuracy_observed_mean,max_test_accuracy_observed_std,final_test_auc_mean,final_test_auc_std,final_test_f1_mean,final_test_f1_std,final_test_balanced_accuracy_mean,final_test_balanced_accuracy_std,rounds_to_target_accuracy_mean,rounds_to_target_accuracy_std,avg_round_time_sec_mean,avg_round_time_sec_std,total_communication_mb_mean,total_communication_mb_std,avg_round_communication_mb_mean,avg_round_communication_mb_std
ham10000_ablation_clients_5,ham10000_ablation_clients_5,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.878147029204431,15,0.8686058174523571,0.764995996509316,0.9017975449386236,0.7336308407710193,0.5074626865671642,0.9597989949748744,0.9933333333333332,0.9799599198396792,0.9614197530864198,0.649949849548646,0.8686058174523571,0.8836509528585758,0.9078,False,0.03919418254764295,validation_best_accuracy_then_auc_then_f1,True,f1,0.57,0.89990374759369,0.8086337379350688,0.8167266681667043,0.7213930348258707,0.9120603015075376,40,0.8,2.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,23.297809195518493,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clients_5.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_hybrid_alpha_10,ham10000_hybrid_alpha_10,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8902316213494461,32,0.8686058174523571,0.7693649753749384,0.8973443086077153,0.7410685267131678,0.527363184079602,0.9547738693467336,0.9966666666666668,0.9839679358717436,0.950795947901592,0.6930792377131394,0.8686058174523571,0.8706118355065195,0.9078,False,0.03919418254764295,validation_best_accuracy_then_auc_then_f1,True,f1,0.7599999999999999,0.8947129928248206,0.7623991353499551,0.7453155078876972,0.5572139303482587,0.9334170854271356,40,0.8,2.0,46.93219062926938,1877.287625170775,46.93219062926938,1877.287625170775,21.910990220308303,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_hybrid_alpha_10.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_clients_20,ham10000_ablation_clients_20,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8761329305135952,33,0.8686058174523571,0.7682929641831345,0.8756312657816445,0.7392091052276306,0.5223880597014925,0.9560301507537688,0.9833333333333332,0.9639278557114228,0.9461077844311376,0.6700100300902708,0.8686058174523571,0.8686058174523571,0.9078,False,0.03919418254764295,validation_best_accuracy_then_auc_then_f1,True,f1,0.5399999999999999,0.8801813795344883,0.7574209245742092,0.7335558388959724,0.5223880597014925,0.9447236180904522,40,0.8,2.0,111.63370130208952,4465.348052083577,111.63370130208952,4465.348052083577,35.374581241607665,68281.11572265625,1707.0278930664062,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clients_20.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_clip_10_0,ham10000_ablation_clip_10_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8851963746223565,19,0.8665997993981945,0.7602641774827206,0.898291207280182,0.7286557163929098,0.4975124378109453,0.9597989949748744,0.9966666666666668,0.9839679358717436,0.9446022727272728,0.7061183550651956,0.8665997993981945,0.8746238716148446,0.9078,False,0.041200200601805514,validation_best_accuracy_then_auc_then_f1,True,f1,0.57,0.8984505862646567,0.7751656095842142,0.7466717917947949,0.5373134328358209,0.9560301507537688,40,0.8,1.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,23.049726045131685,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clip_10_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_hybrid_noise_low,ham10000_hybrid_noise_low,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8882175226586103,35,0.8665997993981945,0.7769856286317347,0.879009475236881,0.758406460161504,0.5771144278606966,0.9396984924623116,0.98,0.9619238476953909,0.9278481012658228,0.7923771313941825,0.8665997993981945,0.8856569709127382,0.9078,False,0.041200200601805514,validation_best_accuracy_then_auc_then_f1,True,f1,0.3,0.8820689267231681,0.7922947331814327,0.7789100977524438,0.6218905472636815,0.935929648241206,40,0.8,2.0,108.74978858855147,4349.991543542056,108.74978858855148,4349.991543542056,22.363831168413164,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_hybrid_noise_low.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_highacc_convnext,ham10000_highacc_convnext,none,False,not_applicable,无隐私机制，不计算 epsilon。,2026,0.8942598187311178,7,0.8655967903711134,0.7601851054052502,0.9120478011950298,0.7298869971749293,0.5024875621890548,0.957286432160804,1.0,0.997995991983968,0.9942528735632185,0.5235707121364093,0.8655967903711134,0.8826479438314945,0.9078,False,0.042203209628886684,validation_best_accuracy_then_auc_then_f1,True,accuracy,0.74,0.9025788144703618,0.7755295654340932,0.7522250556263907,0.5572139303482587,0.9472361809045228,90,0.8,1.0,,,,,35.24496798780229,19103.621978759766,212.26246643066406,106.13123321533203,"benign,malignant",configs/ham10000_highacc_convnext.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_alpha_5_0,ham10000_ablation_alpha_5_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.877139979859013,20,0.8655967903711134,0.7738632055031958,0.9003662591564789,0.7540594764869122,0.5671641791044776,0.9409547738693468,1.0,0.9779559118236472,0.9709090909090908,0.551654964894684,0.8655967903711134,0.8686058174523571,0.9078,False,0.042203209628886684,validation_best_accuracy_then_auc_then_f1,True,f1,0.6799999999999999,0.9087914697867446,0.7823861597169832,0.8022794319857997,0.7213930348258707,0.8831658291457286,40,0.8,2.0,49.30195583907374,1972.0782335629513,49.30195583907374,1972.0782335629517,22.92256641983986,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_alpha_5_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_hybrid_adaptive,ham10000_hybrid_adaptive,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8831822759315207,25,0.8655967903711134,0.76243331673661,0.8954786369659243,0.7336058401460037,0.5124378109452736,0.9547738693467336,0.99,0.9759519038076152,0.953757225433526,0.6940822467402207,0.8655967903711134,0.8776328986960883,0.9078,False,0.042203209628886684,validation_best_accuracy_then_auc_then_f1,True,f1,0.61,0.8956723918097952,0.7860797517660263,0.7714474111852796,0.6069651741293532,0.935929648241206,40,0.8,3.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,22.65428546667099,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_hybrid_adaptive.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_centralized,ham10000_centralized,none,False,not_applicable,无隐私机制，不计算 epsilon。,2026,0.8872104733131924,25,0.8635907723169508,0.7771217421034637,0.8998818720468011,0.7639597239930997,0.5970149253731343,0.9309045226130652,0.98,0.9819639278557114,0.945945945945946,0.7051153460381143,0.8635907723169508,0.8786359077231695,0.9078,False,0.044209227683049246,validation_best_accuracy_then_auc_then_f1,True,f1,0.58,0.9190948523713094,0.8017839894926838,0.8012231555788895,0.681592039800995,0.920854271356784,40,0.8,1.0,,,,,18.92960743904114,3414.0557861328125,85.35139465332031,42.675697326660156,"benign,malignant",configs/ham10000_centralized.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_alpha_10_0,ham10000_ablation_alpha_10_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8851963746223565,32,0.8635907723169508,0.7588875453446191,0.8937410935273383,0.7304901372534314,0.5074626865671642,0.9535175879396984,0.9933333333333332,0.9799599198396792,0.9522431259044862,0.6930792377131394,0.8635907723169508,0.8736208625877633,0.9078,False,0.044209227683049246,validation_best_accuracy_then_auc_then_f1,True,f1,0.72,0.8959473986849671,0.7693649753749384,0.7410685267131678,0.527363184079602,0.9547738693467336,40,0.8,2.0,46.93219062926938,1877.287625170775,46.93219062926938,1877.287625170775,22.700621289014816,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_alpha_10_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_clip_5_0,ham10000_ablation_clip_5_0,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8882175226586103,36,0.8635907723169508,0.7724386085041823,0.8850690017250431,0.7546626165654141,0.572139303482587,0.9371859296482412,0.9833333333333332,0.9719438877755512,0.93196405648267,0.7813440320962889,0.8635907723169508,0.8796389167502507,0.9078,False,0.044209227683049246,validation_best_accuracy_then_auc_then_f1,True,f1,0.3699999999999999,0.9022038050951273,0.7733154195948739,0.749737493437336,0.5522388059701493,0.9472361809045228,40,0.8,2.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,23.465630996227265,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_clip_5_0.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_hybrid_alpha_06,ham10000_hybrid_alpha_06,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8700906344410876,40,0.8625877632898696,0.756545375148161,0.8910097752443811,0.7280025750643766,0.5024875621890548,0.9535175879396984,0.9966666666666668,0.9659318637274548,0.8848758465011287,0.8886659979939819,0.8625877632898696,0.8645937813440321,0.9078,False,0.045212236710130416,validation_best_accuracy_then_auc_then_f1,True,f1,0.09,0.8910097752443811,0.756545375148161,0.7280025750643766,0.5024875621890548,0.9535175879396984,40,0.8,3.0,56.28228774115463,2251.2915096461866,56.28228774115463,2251.2915096461866,21.720346707105637,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_hybrid_alpha_06.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_hybrid,ham10000_hybrid,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8892245720040282,33,0.8595787362086259,0.7627158982728138,0.8937567189179729,0.7428529463236581,0.5472636815920398,0.9384422110552764,0.9966666666666668,0.9759519038076152,0.9331619537275064,0.7803410230692076,0.8595787362086259,0.8796389167502507,0.9078,False,0.04822126379137415,validation_best_accuracy_then_auc_then_f1,True,f1,0.3799999999999999,0.8850690017250431,0.7829352334170019,0.7492093552338809,0.5323383084577115,0.9660804020100504,40,0.8,3.0,54.374894294275734,2174.995771771028,54.37489429427573,2174.995771771028,22.344362020492554,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ham10000_hybrid.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_alpha_0_5,ham10000_ablation_alpha_0_5,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8811681772406847,37,0.8595787362086259,0.7595769601763814,0.8901003775094378,0.7372746818670467,0.5323383084577115,0.942211055276382,0.9866666666666668,0.9759519038076152,0.9081015719467956,0.8294884653961886,0.8595787362086259,0.8605817452357071,0.9078,False,0.04822126379137415,validation_best_accuracy_then_auc_then_f1,True,f1,0.18,0.8902253806345158,0.7667321781913471,0.7502906322658066,0.5671641791044776,0.9334170854271356,40,0.8,1.0,56.757415668478735,2270.296626739148,56.757415668478735,2270.296626739148,22.68814535140991,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_alpha_0_5.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_highacc_centralized,ham10000_highacc_centralized,none,False,not_applicable,无隐私机制，不计算 epsilon。,2026,0.8821752265861027,68,0.8565697091273822,0.751663894235375,0.8961974049351233,0.7279525738143453,0.5124378109452736,0.9434673366834172,0.99,0.9839679358717436,0.9079102715466352,0.8495486459378134,0.8565697091273822,0.872617853560682,0.9078,False,0.05123029087261788,validation_best_accuracy_then_auc_then_f1,True,accuracy,0.4399999999999999,0.8854346358658967,0.7731023991759196,0.7509687742193555,0.5572139303482587,0.9447236180904522,80,0.8,1.0,,,,,41.52824602425098,6583.714599609375,82.29643249511719,41.148216247558594,"benign,malignant",configs/ham10000_highacc_centralized.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ham10000_ablation_alpha_0_1,ham10000_ablation_alpha_0_1,hybrid,True,hybrid_gaussian_component_approx,当前展示的是 Hybrid 中 Gaussian 部分的近似 epsilon。,2026,0.8670694864048338,19,0.8495486459378134,0.7600011554608364,0.8956098902472562,0.7533063326583165,0.5920398009950248,0.914572864321608,0.9933333333333332,0.9839679358717436,0.9324675324675324,0.7723169508525577,0.8495486459378134,0.8736208625877633,0.9078,False,0.05825135406218662,validation_best_accuracy_then_auc_then_f1,True,f1,0.4899999999999999,0.8741031025775643,0.7662784111812104,0.7447373684342109,0.5472636815920398,0.942211055276382,40,0.8,1.0,91.30565448070898,3652.2261792283603,91.30565448070898,3652.22617922836,22.108772867918013,17070.278930664062,426.75697326660156,42.675697326660156,"benign,malignant",configs/ablations/ham10000_ablation_alpha_0_1.yaml,1,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
